#   k               |phi(k)|^2
    0   2.7083389842945504E-35
    1   2.4921435476399334E+00
    2   1.3418308550172189E+00
    3   7.6509719273023158E-01
    4   6.8823315714100408E-01
    5   3.8877546362508258E-01
    6   1.9835241328310310E-01
    7   1.9451621259684482E-01
    8   1.3666735091164804E-02
    9   5.4316456318767295E-33
   10   2.6512620597699865E-33
   11   2.4711358800962998E-33
   12   2.1654086524995582E-33
   13   3.6595542494663698E-33
   14   2.9490947432314460E-33
   15   3.8818800252630388E-33
   16   5.3001481119804165E-34
   17   5.9518234701243549E-33
   18   2.3709977879813452E-33
   19   2.1979918422074587E-33
   20   2.8634496529406701E-33
   21   1.7308793364030881E-33
   22   2.2218673494376378E-33
   23   2.2741953098512962E-33
   24   8.3232621514879088E-34
   25   1.6181867575679683E-33
   26   2.9105665994209619E-33
   27   2.9248330280243909E-33
   28   1.7461656406049299E-33
   29   2.8410406364437735E-33
   30   2.4112595974914109E-33
   31   5.2291667198980602E-33
   32   1.0137733887978522E-33
   33   5.5278517012325575E-33
   34   4.0381144831634220E-33
   35   6.7792237705583036E-33
   36   3.7975684993368766E-33
   37   1.9124174192318643E-33
   38   1.7326321334371352E-33
   39   2.0855119518035651E-33
   40   9.0048063700321950E-34
   41   2.4597798338967325E-33
   42   1.8710108346309978E-33
   43   2.9199236107454228E-33
   44   2.7181711157622674E-33
   45   1.5657162402398999E-33
   46   3.3875820249391484E-33
   47   6.4791135691997110E-33
   48   1.8614373872683455E-33
   49   3.9327280757867983E-33
   50   2.9996505367615988E-33
   51   2.4421658946514825E-33
   52   1.7041918482961620E-33
   53   2.8933540170596813E-33
   54   2.1560167826077503E-33
   55   3.3241277645411084E-33
   56   1.1768653693068777E-33
   57   2.8807762236185136E-33
   58   2.9103331996250256E-33
   59   3.1347027774259398E-33
   60   4.2979776604286476E-33
   61   6.2982571688469606E-33
   62   8.6506695672703582E-33
   63   2.2660564996824841E-32
   64   1.7977425653471312E-33
   65   1.3427365212344406E-32
   66   8.6344023304577832E-33
   67   5.5995626627464327E-33
   68   3.3489127584907495E-33
   69   3.7020443028121006E-33
   70   2.6025802416598365E-33
   71   2.9102196833188168E-33
   72   1.7458823485382267E-33
   73   4.1825585004666766E-33
   74   2.4149287024219553E-33
   75   4.9092252958761654E-33
   76   2.4596843273922804E-33
   77   5.1040754645728669E-33
   78   3.3070474675389668E-33
   79   7.0173727827992757E-33
   80   1.8436678661075119E-33
   81   4.3402669606534864E-33
   82   4.5293840146651889E-33
   83   2.3132039262665175E-33
   84   2.2241657454371483E-33
   85   3.4914400104062205E-33
   86   2.9884806220599680E-33
   87   3.9257221183122562E-33
   88   2.0142081039690007E-33
   89   4.3971105825228147E-33
   90   3.1097541588080077E-33
   91   4.3812929493688185E-33
   92   3.2719738769278130E-33
   93   3.6387382302804536E-33
   94   5.0706315071202669E-33
   95   1.1381269769278730E-32
   96   2.1834863500222699E-33
   97   1.3674579860142798E-32
   98   5.8301693863769890E-33
   99   4.7877309330617465E-33
  100   3.2116519734722350E-33
  101   3.9856265076654181E-33
  102   3.0318130980114733E-33
  103   2.8089231041248421E-33
  104   3.2520974344490525E-33
  105   3.4406076698992886E-33
  106   3.4951816367084727E-33
  107   2.8279586555980004E-33
  108   3.7002197640195134E-33
  109   4.0866385393807358E-33
  110   4.1857808907225821E-33
  111   6.7125540846336351E-33
  112   2.4623700277260631E-33
  113   6.7828787235688246E-33
  114   3.0267283132404526E-33
  115   4.4976048591097585E-33
  116   3.7969835680298366E-33
  117   4.8866591132660060E-33
  118   2.9902107643161501E-33
  119   4.2385258663779508E-33
  120   2.7066007052396110E-33
  121   3.4500420077006927E-33
  122   3.9278293875422767E-33
  123   4.8276414958386765E-33
  124   5.5044587775772902E-33
  125   5.1427673031145030E-33
  126   8.0895111196916471E-33
  127   1.8005098385104129E-32
  128   3.6482792275445106E-33
