#   k               |phi(k)|^2
    0   4.7019774032891500E-36
    1   8.8036755103307878E-35
    2   3.4443775702469118E-34
    3   8.7752115313000771E-34
    4   4.6295209496034506E-01
    5   3.8877546362508253E-01
    6   1.9835241328310310E-01
    7   1.9451621259684482E-01
    8   1.3666735091164804E-02
    9   8.9017920629923958E-34
   10   6.4101222627494006E-34
   11   1.2277793749705049E-33
   12   6.1524050769077465E-34
   13   1.0870322622093052E-33
   14   9.0316651093784393E-34
   15   6.2747542840343047E-34
   16   2.5638556449428622E-34
   17   5.6080849500139934E-34
   18   3.7857930977184406E-34
   19   8.9644521324341470E-34
   20   1.1328368864776239E-33
   21   6.4020509087527070E-34
   22   8.4954445137026967E-34
   23   7.0154861453969151E-34
   24   3.0287544501203897E-34
   25   7.8936463005679989E-34
   26   7.8304182805578354E-34
   27   1.0045661869080533E-33
   28   9.3026674658357397E-34
   29   1.2732218969909978E-33
   30   9.2965186106236105E-34
   31   5.9230303484875438E-34
   32   2.1952006350428504E-34
   33   5.1879761484558295E-34
   34   4.0951658634122096E-34
   35   1.0112723233533982E-33
   36   1.3268868007379275E-33
   37   1.2045205620221670E-33
   38   6.1623247571041978E-34
   39   5.4553255484232187E-34
   40   3.5978918790413192E-34
   41   4.0150328073249612E-34
   42   7.1594280060613717E-34
   43   8.8109341106084226E-34
   44   6.6763603608038554E-34
   45   7.3405368433324614E-34
   46   5.5638672676853090E-34
   47   7.1210215519849641E-34
   48   2.7889331788936795E-34
   49   6.3168382537623449E-34
   50   4.8564875315784006E-34
   51   7.6970576556124428E-34
   52   7.0849196080992326E-34
   53   8.3908977969846331E-34
   54   3.6774856880635044E-34
   55   5.4130308193182979E-34
   56   3.6317240648324078E-34
   57   8.0279554461065042E-34
   58   8.4297904787046727E-34
   59   1.3694052551224755E-33
   60   1.7089034104757085E-33
   61   9.0981687414673911E-34
   62   1.3932715229270456E-33
   63   7.1076963033961693E-34
   64   3.4707117309219251E-34
   65   8.4679861628019450E-34
   66   8.2457517485799567E-34
   67   9.6116229509230672E-34
   68   2.7134853908756226E-33
   69   1.1540928619579841E-33
   70   7.3923436690925081E-34
   71   1.1119691530172403E-33
   72   4.9332317446965468E-34
   73   6.8663402505309718E-34
   74   5.4884368088102578E-34
   75   1.2396848544547634E-33
   76   8.7323779289788785E-34
   77   8.9750685337955551E-34
   78   5.1043078921789507E-34
   79   6.4592865428499838E-34
   80   4.1056451406864068E-34
   81   6.7525309403280044E-34
   82   6.5968765351630662E-34
   83   8.3656829450970578E-34
   84   9.7831750945461557E-34
   85   7.6900831554031311E-34
   86   6.5708766606233454E-34
   87   7.1554800946485363E-34
   88   6.0121301379314431E-34
   89   7.6773708778397587E-34
   90   6.0000692256971516E-34
   91   1.1438106512200708E-33
   92   1.0326351763670892E-33
   93   8.8466482321836159E-34
   94   8.4875962635370689E-34
   95   8.2110975215167199E-34
   96   4.8406704629069707E-34
   97   8.9409483750783846E-34
   98   8.8462528119347133E-34
   99   1.1038014900780736E-33
  100   9.4551342441981240E-34
  101   9.4600939113761953E-34
  102   1.2318708915335584E-33
  103   6.2840308937487729E-34
  104   4.9698171272156916E-34
  105   7.5370691020203947E-34
  106   9.9278742565284653E-34
  107   1.1232176867986661E-33
  108   1.2860486973463696E-33
  109   1.0831269376573085E-33
  110   6.3954794890099948E-34
  111   7.7025895833435821E-34
  112   5.4878316189551216E-34
  113   8.5903707825972324E-34
  114   7.9591864087362527E-34
  115   9.8310346702835591E-34
  116   1.2411550087907881E-33
  117   1.2450838763483404E-33
  118   7.6872888608073741E-34
  119   6.1512100275797675E-34
  120   6.7744195394031731E-34
  121   1.1915128627626177E-33
  122   2.3619813084706887E-33
  123   1.4145119062634378E-33
  124   1.8137642043729429E-33
  125   1.3399565007657169E-33
  126   1.4577667275055717E-33
  127   9.3705337867525088E-34
  128   7.9334643314688131E-34
