#   k               |phi(k)|^2
    0   4.7019774032891500E-38
    1   1.0201086913229664E-35
    2   1.2630686799585479E-35
    3   2.1465707683797096E-35
    4   2.2057807110069633E-35
    5   7.6262032719519062E-35
    6   7.2971750563170553E-35
    7   9.7426737123930576E-35
    8   8.3940949566265655E-35
    9   1.1084105871775385E-34
   10   9.1206061407042850E-35
   11   8.1502900814263304E-35
   12   1.3403752421498765E-34
   13   1.4159236973697501E-34
   14   1.3179959757504192E-34
   15   1.2875584647104872E-34
   16   1.0527006704485115E-34
   17   1.2275627492945396E-34
   18   1.4867477726125174E-34
   19   1.5435894022319573E-34
   20   1.3067729002068901E-34
   21   1.6266858250332988E-34
   22   1.8372168798893237E-34
   23   1.5320379957759186E-34
   24   2.1870104934415137E-34
   25   1.9106695224603015E-34
   26   1.9455183263618009E-34
   27   1.9280270150379544E-34
   28   1.6512941905937547E-34
   29   2.1129033878000326E-34
   30   2.1562736071905908E-34
   31   2.1124251611419234E-34
   32   1.3468482561330406E-02
   33   1.2311197395668711E-02
   34   1.2538719896017339E-02
   35   1.0800237448221846E-02
   36   1.0828100698076753E-02
   37   1.0124117526299785E-02
   38   1.0472617776292811E-02
   39   9.4279654252721456E-03
   40   8.5472383805519983E-03
   41   9.2180071423370695E-03
   42   8.4247939746132407E-03
   43   8.5215650263929018E-03
   44   7.6567409213937248E-03
   45   7.1021914651058825E-03
   46   7.2651040079024900E-03
   47   6.9560812616247603E-03
   48   6.6383891361538839E-03
   49   6.3338768811751775E-03
   50   6.6798475650459675E-03
   51   6.1009325273578456E-03
   52   5.6313965253971966E-03
   53   5.6374866033522776E-03
   54   5.2258570607560031E-03
   55   5.5226278544583630E-03
   56   4.9853063608283083E-03
   57   5.1346549030134876E-03
   58   4.8067139195385614E-03
   59   4.7621552787114451E-03
   60   4.7101324481495345E-03
   61   4.5147113538703361E-03
   62   4.3629015558151801E-03
   63   4.2015604794547251E-03
   64   4.3983021208756074E-05
   65   1.8805150781091805E-34
   66   1.9543917280024811E-34
   67   2.4010573431804446E-34
   68   2.1505917330564824E-34
   69   1.4952662118499962E-34
   70   1.8517714449689022E-34
   71   2.0618285253963493E-34
   72   2.0431998610266151E-34
   73   1.8842197861688558E-34
   74   2.1252843564287663E-34
   75   2.5707819582664895E-34
   76   2.0859413649762587E-34
   77   1.8955589000911980E-34
   78   1.9765844448049094E-34
   79   2.1657055081438667E-34
   80   1.8975550586736033E-34
   81   1.9032353640907764E-34
   82   2.3366823681567731E-34
   83   2.4247478947035162E-34
   84   2.3305712551218487E-34
   85   2.6732005684917710E-34
   86   2.4973797663316103E-34
   87   2.8875774452611704E-34
   88   2.2835972933312671E-34
   89   2.3160757246246656E-34
   90   2.3954471340032321E-34
   91   2.7131834826987028E-34
   92   2.1736297068348282E-34
   93   2.7642341644596157E-34
   94   3.2389964526372664E-34
   95   2.9967881762855983E-34
   96   3.0459566046290847E-34
   97   2.9185695967725261E-34
   98   3.1264964747404565E-34
   99   2.4857933381848065E-34
  100   2.5287878278433451E-34
  101   3.0997944356773300E-34
  102   3.3624656520324772E-34
  103   2.6737843022618567E-34
  104   2.5947398594585554E-34
  105   2.6302703721070842E-34
  106   2.9040741021914561E-34
  107   2.3626703793333588E-34
  108   2.5310061593743203E-34
  109   2.2183837759096548E-34
  110   2.3594020905870867E-34
  111   2.4045992289149715E-34
  112   2.0697911773399454E-34
  113   2.5286092221072493E-34
  114   2.6193572940403565E-34
  115   2.3909442455835397E-34
  116   2.4833741340128357E-34
  117   2.1212863803380383E-34
  118   2.4162407431303018E-34
  119   2.1156976846141869E-34
  120   2.5067728441046977E-34
  121   2.5073055614472665E-34
  122   2.5346031605323246E-34
  123   2.2662912063036241E-34
  124   2.3602060788080610E-34
  125   2.9737528871771751E-34
  126   2.2892715277314574E-34
  127   2.5572812097487143E-34
  128   2.1571611638170276E-34
